@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.00489 , 0.1245 , 0.0218 , -5.5588 , -0.0387
0.0071 , 0.0822 , 0.0866 , -5.2167 , 0.6327
0.00968 , 0.0408 , 0.1526 , -4.8770 , 1.2764
0.01203 , -0.0134 , 0.1122 , -5.6687 , 1.9842
0.01229 , -0.0677 , 0.0728 , -6.4655 , 2.7242
0.01024 , -0.1215 , 0.0354 , -7.2983 , 3.5025
0.00934 , -0.1041 , 0.0040 , -7.4722 , 3.7068
0.00841 , -0.0865 , -0.0274 , -7.6472 , 3.9546
0.00745 , -0.0700 , -0.0584 , -7.7687 , 4.2361
0.00778 , 0.0018 , 0.0020 , -7.8660 , 4.5704
0.01051 , 0.0730 , 0.0596 , -7.9502 , 4.8593
0.01248 , 0.1444 , 0.1140 , -8.0318 , 5.1151
0.01523 , 0.1223 , 0.1673 , -8.1233 , 5.3994
0.01953 , 0.0996 , 0.2223 , -8.2061 , 5.6435
0.02166 , 0.0784 , 0.2792 , -8.3039 , 5.8712
0.02066 , 0.0019 , 0.2308 , -8.3969 , 6.1246
0.01887 , -0.0741 , 0.1880 , -8.4980 , 6.3494
0.01488 , -0.1492 , 0.1483 , -8.5895 , 6.5750
0.01065 , -0.1409 , 0.0759 , -8.6752 , 6.8245
0.00675 , -0.1298 , 0.0031 , -8.7525 , 7.0702
0.00364 , -0.1151 , -0.0715 , -8.8153 , 7.3362
0.00312 , -0.0317 , -0.0572 , -8.8824 , 7.5747
0.0017 , 0.0495 , -0.0491 , -8.9241 , 7.8685
0.00228 , 0.1230 , -0.0410 , -8.9892 , 8.0637
0.05995 , 0.1384 , 0.0425 , -8.9369 , 7.9523
0.00704 , -0.1326 , -0.0453 , -5.7324 , 2.2559
0.0056 , -0.1118 , -0.0808 , -6.3361 , 1.9806
0.00512 , -0.0915 , -0.1185 , -6.9122 , 1.6972
0.0054 , -0.0088 , -0.0393 , -7.1070 , 2.0203
0.00868 , 0.0722 , 0.0405 , -7.2903 , 2.3412
0.01388 , 0.1488 , 0.1161 , -7.4622 , 2.6599
0.01749 , 0.1210 , 0.1737 , -7.6273 , 2.9439
0.01739 , 0.0933 , 0.2310 , -7.7877 , 3.1873
0.01664 , 0.0679 , 0.2810 , -7.9703 , 3.4938
0.01522 , -0.0190 , 0.2056 , -8.1525 , 3.7554
0.01264 , -0.1089 , 0.1327 , -8.3368 , 4.0410
0.0091 , -0.2013 , 0.0658 , -8.5211 , 4.3487
0.00557 , -0.1932 , -0.0182 , -8.6772 , 4.6527
0.00245 , -0.1831 , -0.1040 , -8.8250 , 4.9471
-0.00151 , -0.1715 , -0.1913 , -8.9546 , 5.2621
-0.00337 , -0.0809 , -0.1522 , -9.0641 , 5.5592
-0.00359 , 0.0097 , -0.1123 , -9.1689 , 5.8565
-0.00207 , 0.0994 , -0.0733 , -9.2747 , 6.1200
-0.00031 , 0.1104 , 0.0331 , -9.2592 , 6.3719
0.00337 , 0.1219 , 0.1388 , -9.2903 , 6.5514
0.00981 , 0.1368 , 0.2461 , -9.2664 , 6.7632
0.01436 , 0.0620 , 0.2408 , -8.1963 , 7.5914
0.01573 , -0.0116 , 0.2363 , -7.1166 , 8.4528
0.01481 , -0.0845 , 0.2342 , -6.0640 , 9.2900
0.01256 , -0.1046 , 0.1504 , -5.9699 , 9.6608
0.00779 , -0.1272 , 0.0650 , -5.8303 , 9.9930
0.00235 , -0.1496 , -0.0193 , -5.6460 , 10.3551
-0.00049 , -0.0677 , -0.0183 , -5.3355 , 9.3783
-0.00165 , 0.0139 , -0.0205 , -5.0960 , 8.4156
-0.00017 , 0.0962 , -0.0255 , -4.9038 , 7.4446
0.00117 , 0.1328 , 0.0464 , -4.7531 , 6.4651
0.00439 , 0.1679 , 0.1163 , -4.7345 , 5.4273
0.00734 , 0.2037 , 0.1887 , -4.6856 , 4.4181
0.00981 , 0.1040 , 0.1747 , -4.8056 , 3.3474
0.00982 , 0.0028 , 0.1644 , -4.8272 , 2.2769
0.00663 , -0.0991 , 0.1564 , -4.8085 , 1.2853
0.00179 , -0.1396 , 0.0418 , -4.8092 , 0.3122
-0.00323 , -0.1797 , -0.0712 , -4.8327 , -0.6608
-0.0068 , -0.2186 , -0.1831 , -4.7787 , -1.5850
-0.00817 , -0.1314 , -0.2034 , -4.6200 , -2.4505
-0.00729 , -0.0450 , -0.2270 , -4.3189 , -3.2863
-0.00834 , 0.0379 , -0.2513 , -4.1102 , -4.1881
-0.0069 , 0.0927 , -0.1452 , -3.7608 , -4.0627
-0.00194 , 0.1459 , -0.0394 , -3.5974 , -4.0101
0.00464 , 0.1969 , 0.0670 , -3.7812 , -4.0458
0.00928 , 0.1115 , 0.1168 , -2.6142 , -4.4463
0.01152 , 0.0253 , 0.1654 , -1.4841 , -4.8573
0.01118 , -0.0608 , 0.2139 , -0.3541 , -5.2683
0.00776 , -0.1110 , 0.1132 , 0.7631 , -5.9449
0.00217 , -0.1610 , 0.0130 , 1.8684 , -6.6375
-0.0035 , -0.2088 , -0.0891 , 3.0179 , -7.3102
-0.00679 , -0.1340 , -0.1278 , 3.1201 , -7.4393
-0.00859 , -0.0589 , -0.1668 , 3.2567 , -7.5544
-0.00954 , 0.0146 , -0.2027 , 3.3788 , -7.6694
-0.00759 , 0.0933 , -0.1176 , 3.5150 , -7.7704
-0.00389 , 0.1699 , -0.0289 , 3.6064 , -7.8737
0.00109 , 0.2456 , 0.0655 , 3.6839 , -7.9615
0.005 , 0.1651 , 0.0979 , 3.7408 , -8.0353
0.00804 , 0.0844 , 0.1251 , 3.7812 , -8.1236
0.00721 , 0.0026 , 0.1492 , 3.8062 , -8.2146
0.00422 , -0.0683 , 0.0328 , 3.8276 , -8.3171
-0.00032 , -0.1389 , -0.0850 , 3.8408 , -8.4192
-0.00706 , -0.2069 , -0.2041 , 3.8472 , -8.5290
-0.01224 , -0.1436 , -0.2284 , 3.8437 , -8.6370
-0.01478 , -0.0793 , -0.2504 , 3.8221 , -8.7379
-0.01543 , -0.0144 , -0.2706 , 3.8022 , -8.8329
-0.01388 , 0.0911 , -0.1454 , 4.6962 , -8.7740
-0.00903 , 0.1934 , -0.0210 , 5.5810 , -8.7648
-0.00304 , 0.2946 , 0.1058 , 6.4560 , -8.8071
0.00224 , 0.2173 , 0.1508 , 6.5074 , -9.2414
0.00549 , 0.1375 , 0.1944 , 6.5997 , -9.6198
0.00502 , 0.0545 , 0.2365 , 6.6995 , -9.9842
0.00153 , -0.0384 , 0.1147 , 5.9897 , -9.9001
-0.00455 , -0.1308 , -0.0097 , 5.2748 , -9.8153
-0.01105 , -0.2223 , -0.1359 , 4.5530 , -9.6940
-0.01695 , -0.1693 , -0.1779 , 4.3514 , -9.5127
-0.02018 , -0.1166 , -0.2174 , 4.1546 , -9.3401
-0.01877 , -0.0652 , -0.2540 , 3.9418 , -9.1548
-0.01662 , 0.0435 , -0.1351 , 3.7376 , -8.9814
-0.0127 , 0.1516 , -0.0118 , 3.5399 , -8.8184
-0.00648 , 0.2599 , 0.1133 , 3.3664 , -8.6775
-0.00173 , 0.1887 , 0.1459 , 3.2211 , -8.5614
0.00063 , 0.1172 , 0.1770 , 3.0763 , -8.4433
0.00055 , 0.0458 , 0.2065 , 2.9377 , -8.3282
-0.00133 , -0.0501 , 0.0688 , 2.7988 , -8.2170
-0.00641 , -0.1464 , -0.0705 , 2.6551 , -8.1020
-0.0128 , -0.2418 , -0.2111 , 2.5105 , -7.9961
-0.01742 , -0.1903 , -0.2444 , 2.3708 , -7.9064
-0.02163 , -0.1390 , -0.2758 , 2.2312 , -7.8146
-0.02201 , -0.0874 , -0.3035 , 2.0998 , -7.7404
-0.01928 , 0.0385 , -0.1375 , 2.4440 , -7.2931
-0.01304 , 0.1642 , 0.0315 , 2.7852 , -6.8622
-0.00741 , 0.2933 , 0.1977 , 3.1251 , -6.4099
-0.00109 , 0.2338 , 0.2506 , 3.0732 , -6.4060
0.00654 , 0.1705 , 0.3027 , 3.0302 , -6.3735
0.01029 , 0.1053 , 0.3559 , 2.9929 , -6.3293
0.00655 , -0.0130 , 0.2126 , 2.5331 , -6.5888
0.0005 , -0.1313 , 0.0672 , 2.0703 , -6.8517
-0.00805 , -0.2495 , -0.0781 , 1.6048 , -7.1317
-0.0171 , -0.2095 , -0.1483 , 1.4428 , -7.0123
-0.02247 , -0.1698 , -0.2178 , 1.2779 , -6.8928
-0.02232 , -0.1328 , -0.2849 , 1.1117 , -6.7733
-0.01916 , -0.0031 , -0.1454 , 0.9537 , -6.6335
-0.01243 , 0.1244 , -0.0005 , 0.7977 , -6.4995
-0.00528 , 0.2514 , 0.1470 , 0.6520 , -6.3510
-8E-05 , 0.2069 , 0.1933 , 0.5125 , -6.2023
0.00229 , 0.1658 , 0.2367 , 0.3709 , -6.0608
0.00357 , 0.1254 , 0.2815 , 0.2396 , -5.9281
0.00141 , -0.1234 , -0.0708 , -6.1225 , 3.3513
0.00051 , -0.1032 , -0.1325 , -6.7701 , 3.1275
-0.00042 , -0.0154 , -0.0695 , -7.1227 , 3.2272
0.00078 , 0.0727 , -0.0069 , -7.4649 , 3.3273
0.00409 , 0.1612 , 0.0557 , -7.7944 , 3.4455
0.01013 , 0.1441 , 0.1407 , -8.1008 , 3.5250
0.01572 , 0.1272 , 0.2249 , -8.3910 , 3.5666
0.01893 , 0.1112 , 0.3081 , -8.7047 , 3.6312
0.01999 , 0.0104 , 0.2455 , -9.0360 , 3.7031
0.01593 , -0.0929 , 0.1871 , -9.3597 , 3.7563
0.01099 , -0.1980 , 0.1316 , -9.6770 , 3.7954
0.00407 , -0.2079 , 0.0289 , -9.9946 , 3.8791
0.00052 , -0.2167 , -0.0706 , -10.2892 , 3.9750
-0.00018 , -0.2222 , -0.1671 , -10.5513 , 4.1001
-0.00225 , -0.1117 , -0.1422 , -10.7833 , 4.2246
-0.00303 , 0.0003 , -0.1207 , -11.0123 , 4.3280
-0.0021 , 0.1057 , -0.0964 , -11.2298 , 4.4395
0.0018 , 0.1381 , 0.0198 , -10.9538 , 5.1282
0.00762 , 0.1719 , 0.1337 , -10.7202 , 5.7549
0.01443 , 0.2098 , 0.2424 , -10.4859 , 6.3896
0.01853 , 0.1216 , 0.2537 , -9.3328 , 6.3483
0.01935 , 0.0301 , 0.2661 , -8.1731 , 6.1964
0.01692 , -0.0635 , 0.2792 , -6.9944 , 5.8318
