@relation whatever

@attribute obs_lon numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00389 , 0.0526 , -0.1206 , -1.6226 , 0.8226
-0.00167 , 0.1013 , -0.0202 , -2.3704 , 0.9125
0.00172 , 0.1509 , 0.0805 , -3.0649 , 1.0405
0.00116 , 0.1166 , 0.1873 , -3.7593 , 1.1685
-0.00305 , 0.0805 , 0.2938 , -4.4147 , 1.3191
-0.00483 , 0.0435 , 0.4016 , -5.0549 , 1.4764
-0.0074 , -0.0106 , 0.2946 , -5.7607 , 1.6260
-0.01104 , -0.0606 , 0.1846 , -6.4902 , 1.7816
-0.01315 , -0.1189 , 0.0672 , -7.2132 , 1.8980
-0.01287 , -0.1227 , -0.0879 , -7.9960 , 2.0299
-0.01429 , -0.1336 , -0.2332 , -8.7344 , 2.1495
-0.01334 , -0.1522 , -0.3776 , -9.4684 , 2.2848
-0.01104 , -0.1084 , -0.2804 , -10.1796 , 2.4453
-0.00824 , -0.0579 , -0.1688 , -10.8391 , 2.6124
-0.00622 , -0.0011 , -0.0541 , -11.4513 , 2.7963
-0.00563 , 0.0479 , 0.1064 , -11.4561 , 3.5890
-0.00415 , 0.1051 , 0.2460 , -11.4463 , 4.3435
-0.00492 , 0.1521 , 0.3995 , -11.4365 , 5.0640
-0.00575 , 0.0763 , 0.3362 , -10.6174 , 5.2659
-0.0074 , -0.0014 , 0.2688 , -9.8212 , 5.4892
-0.00959 , -0.0947 , 0.2047 , -9.0397 , 5.7402
-0.01255 , -0.1517 , 0.0674 , -8.4239 , 5.9654
-0.01624 , -0.2138 , -0.0626 , -7.8665 , 6.2119
-0.01836 , -0.2661 , -0.1864 , -7.3493 , 6.4990
-0.01881 , -0.1486 , -0.1290 , -7.0665 , 5.8466
-0.0139 , -0.0209 , -0.0813 , -6.7716 , 5.1859
-0.0063 , 0.1034 , -0.0407 , -6.4900 , 4.5058
0.00147 , 0.1685 , 0.0708 , -6.2776 , 3.7660
0.00509 , 0.2350 , 0.1849 , -6.0841 , 3.0093
0.00501 , 0.2972 , 0.3063 , -5.9221 , 2.2529
0.00191 , 0.1608 , 0.2548 , -5.8692 , 1.4622
-0.00366 , 0.0197 , 0.2094 , -5.8710 , 0.6687
-0.01091 , -0.1124 , 0.1665 , -5.8698 , -0.1063
-0.0194 , -0.1755 , 0.0076 , -5.7739 , -0.8647
-0.02404 , -0.2427 , -0.1590 , -5.6211 , -1.6459
-0.024 , -0.3361 , -0.2859 , -5.3762 , -2.4210
-0.01907 , -0.1780 , -0.2251 , -5.1465 , -3.2199
-0.01356 , -0.0005 , -0.2188 , -4.6824 , -3.9607
