@relation whatever

@attribute obs_lon numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00102 , 0.0978 , -0.1423 , -4.5361 , 1.2335
0.00254 , 0.1327 , -0.0418 , -4.9265 , 1.3780
0.00264 , 0.1675 , 0.0598 , -5.3314 , 1.4928
0.00048 , 0.2035 , 0.1587 , -5.7125 , 1.6609
-0.00513 , 0.0998 , 0.1205 , -6.0960 , 1.8151
-0.01104 , -0.0043 , 0.0842 , -6.4819 , 1.9663
-0.01608 , -0.1081 , 0.0500 , -6.8566 , 2.1105
-0.01943 , -0.1243 , -0.0625 , -7.2140 , 2.2431
-0.02045 , -0.1400 , -0.1746 , -7.5541 , 2.3563
-0.02043 , -0.1565 , -0.2856 , -7.9027 , 2.4711
-0.0177 , -0.0668 , -0.2355 , -8.4684 , 1.2834
-0.01356 , 0.0202 , -0.1855 , -9.0877 , 0.0900
-0.00764 , 0.1052 , -0.1345 , -9.7428 , -1.1175
-0.00188 , 0.1413 , 0.0063 , -10.2766 , -0.8672
0.00071 , 0.1773 , 0.1463 , -10.7929 , -0.6162
0.00055 , 0.2135 , 0.2819 , -11.2464 , -0.3544
-0.00406 , 0.1088 , 0.2731 , -11.0237 , -0.4813
-0.00859 , 0.0044 , 0.2667 , -10.8021 , -0.6151
-0.01164 , -0.1009 , 0.2649 , -10.5653 , -0.7630
-0.01581 , -0.1532 , 0.1428 , -9.7895 , -1.2082
-0.01808 , -0.1915 , 0.0187 , -9.0235 , -1.6558
-0.02012 , -0.2184 , -0.1119 , -8.2714 , -2.1029
-0.01881 , -0.1345 , -0.1456 , -7.5228 , -2.5532
-0.01357 , -0.0604 , -0.1820 , -6.8015 , -2.9829
-0.00731 , 0.0114 , -0.2163 , -6.0803 , -3.4072
-3E-05 , 0.0746 , -0.1339 , -5.3685 , -3.8216
0.00492 , 0.1371 , -0.0504 , -4.6528 , -4.2281
0.00566 , 0.2000 , 0.0329 , -3.9320 , -4.6270
0.00426 , 0.1240 , 0.0342 , -3.2058 , -5.0224
0.00019 , 0.0481 , 0.0330 , -2.4842 , -5.4261
-0.00277 , -0.0276 , 0.0303 , -1.7557 , -5.8231
-0.00521 , -0.0621 , -0.0850 , -1.0246 , -6.2188
-0.00717 , -0.0964 , -0.2008 , -0.2910 , -6.6133
-0.00624 , -0.1287 , -0.3183 , 0.4479 , -6.9936
-0.00435 , -0.0695 , -0.2999 , 0.9661 , -6.0133
-0.00178 , -0.0101 , -0.2706 , 1.4642 , -5.0569
0.00229 , 0.0527 , -0.2246 , 1.9490 , -4.1331
0.00755 , 0.1169 , -0.0816 , 2.7451 , -4.5855
0.0101 , 0.1803 , 0.0593 , 3.5529 , -5.0192
0.01074 , 0.2435 , 0.2023 , 4.3656 , -5.4411
0.00749 , 0.1641 , 0.2185 , 4.1341 , -5.6706
0.00413 , 0.0831 , 0.2348 , 3.9117 , -5.9041
0.00159 , 0.0004 , 0.2490 , 3.6803 , -6.1429
-0.00092 , -0.0561 , 0.1150 , 3.4827 , -5.7840
-0.00314 , -0.1122 , -0.0199 , 3.2759 , -5.4241
-0.00459 , -0.1690 , -0.1551 , 3.0756 , -5.0684
-0.00376 , -0.1196 , -0.1877 , 2.8465 , -4.7183
-0.00376 , -0.0712 , -0.2170 , 2.6147 , -4.3727
0.00067 , -0.0235 , -0.2429 , 2.3804 , -4.0317
0.0045 , 0.0537 , -0.1418 , 2.1435 , -3.6952
0.00972 , 0.1303 , -0.0379 , 1.9069 , -3.3708
0.013 , 0.2084 , 0.0670 , 1.6882 , -3.0567
0.01337 , 0.1466 , 0.0735 , 1.4763 , -2.7255
0.0084 , 0.0830 , 0.0805 , 1.2543 , -2.4208
0.00538 , 0.0195 , 0.0861 , 1.0403 , -2.0951
0.00121 , -0.0367 , -0.0325 , 0.8255 , -1.7712
-0.00254 , -0.0925 , -0.1518 , 0.6072 , -1.4331
-0.00438 , -0.1485 , -0.2730 , 0.3745 , -1.1102
-0.00441 , -0.1031 , -0.2615 , 0.2814 , -0.2230
-0.00162 , -0.0591 , -0.2488 , 0.1874 , 0.6437
0.00311 , -0.0152 , -0.2334 , 0.1109 , 1.5287
0.00791 , 0.0620 , -0.0777 , -0.4551 , 1.9421
0.01249 , 0.1393 , 0.0795 , -1.0446 , 2.3103
0.01599 , 0.2173 , 0.2352 , -1.6159 , 2.7077
0.01522 , 0.1598 , 0.2653 , -1.1639 , 2.8787
0.01094 , 0.1006 , 0.2987 , -0.6871 , 3.0361
0.00398 , 0.0405 , 0.3347 , -0.1898 , 3.1872
-0.003 , -0.0320 , 0.2076 , -0.4304 , 3.1970
-0.00691 , -0.1049 , 0.0841 , -0.6601 , 3.2160
-0.00927 , -0.1786 , -0.0400 , -0.9418 , 3.2439
-0.01014 , -0.1457 , -0.0996 , -1.2291 , 3.2749
-0.0095 , -0.1130 , -0.1610 , -1.5413 , 3.3085
-0.00558 , -0.0813 , -0.2226 , -1.8455 , 3.3356
0.00106 , 0.0037 , -0.1395 , -2.1563 , 3.3529
0.00707 , 0.0890 , -0.0564 , -2.4501 , 3.3720
0.00819 , 0.1744 , 0.0268 , -2.7439 , 3.3910
0.00564 , 0.1416 , 0.0627 , -3.0377 , 3.4101
0.00423 , 0.1095 , 0.0985 , -3.3338 , 3.4454
-0.00165 , 0.0772 , 0.1356 , -3.6341 , 3.4838
