@relation whatever

@attribute obs_lon numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00646 , -0.000164 , -0.000425 , 0.1770 , -0.0933 , -6.2055 , -0.1881
-0.00413 , -0.001273 , -0.000656 , 0.1339 , -0.0046 , -5.6724 , 0.5072
-0.00571 , -0.002522 , 0.002453 , 0.0909 , 0.0841 , -5.1393 , 1.2025
-0.0083 , -0.004959 , 0.005989 , 0.0481 , 0.1726 , -4.6124 , 1.8818
-0.01007 , -0.00659 , 0.007608 , -0.0162 , 0.1516 , -5.1553 , 2.8292
-0.01293 , -0.009965 , 0.007914 , -0.0849 , 0.1319 , -5.6652 , 3.7746
-0.01524 , -0.014103 , 0.008327 , -0.1547 , 0.1153 , -6.1935 , 4.7362
-0.01835 , -0.014704 , 0.007647 , -0.1330 , 0.0689 , -6.7202 , 4.6976
-0.0208 , -0.014513 , 0.006121 , -0.1125 , 0.0234 , -7.2467 , 4.6790
-0.0191 , -0.014352 , 0.004604 , -0.0935 , -0.0223 , -7.7379 , 4.6852
-0.01373 , -0.012398 , 0.004567 , -0.0065 , 0.0058 , -7.9255 , 4.7885
-0.00816 , -0.009171 , 0.005471 , 0.0794 , 0.0313 , -8.1085 , 4.8912
-0.00254 , -0.00594 , 0.006267 , 0.1645 , 0.0537 , -8.2875 , 4.9909
-0.00089 , -0.005196 , 0.007827 , 0.1434 , 0.1198 , -8.4634 , 5.0650
0.00018 , -0.006996 , 0.009943 , 0.1217 , 0.1852 , -8.6394 , 5.1358
-0.00146 , -0.008143 , 0.012017 , 0.0996 , 0.2481 , -8.8257 , 5.1886
-0.00532 , -0.011767 , 0.012521 , 0.0042 , 0.2255 , -9.0096 , 5.2565
-0.01001 , -0.015215 , 0.012102 , -0.0938 , 0.2100 , -9.2089 , 5.2961
-0.01431 , -0.019426 , 0.011975 , -0.1931 , 0.2031 , -9.3840 , 5.3746
-0.01895 , -0.021104 , 0.010546 , -0.1868 , 0.1226 , -9.5573 , 5.4487
-0.01987 , -0.020203 , 0.008009 , -0.1784 , 0.0415 , -9.7137 , 5.5427
-0.01837 , -0.019963 , 0.005506 , -0.1687 , -0.0396 , -9.8411 , 5.6621
-0.01438 , -0.017606 , 0.00394 , -0.0706 , -0.0712 , -9.9768 , 5.7567
-0.01145 , -0.013802 , 0.002974 , 0.0274 , -0.1053 , -10.1070 , 5.8549
-0.00789 , -0.009364 , 0.00192 , 0.1237 , -0.1397 , -10.2328 , 5.9597
-0.00572 , -0.008116 , 0.003409 , 0.1362 , -0.0472 , -9.9783 , 6.3023
