@relation whatever

@attribute obs_lon numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00389 , -9.8E-05 , -0.004476 , 0.0526 , -0.1206 , -1.6226 , 0.8226
-0.00167 , 0.000357 , -0.001117 , 0.1013 , -0.0202 , -2.3704 , 0.9125
0.00172 , 0.001479 , 0.00226 , 0.1509 , 0.0805 , -3.0649 , 1.0405
0.00116 , -1.6E-05 , 0.00574 , 0.1166 , 0.1873 , -3.7593 , 1.1685
-0.00305 , -0.00291 , 0.00932 , 0.0805 , 0.2938 , -4.4147 , 1.3191
-0.00483 , -0.005179 , 0.012955 , 0.0435 , 0.4016 , -5.0549 , 1.4764
-0.0074 , -0.008326 , 0.0126 , -0.0106 , 0.2946 , -5.7607 , 1.6260
-0.01104 , -0.009957 , 0.009148 , -0.0606 , 0.1846 , -6.4902 , 1.7816
-0.01315 , -0.013079 , 0.005347 , -0.1189 , 0.0672 , -7.2132 , 1.8980
-0.01287 , -0.014492 , 0.000946 , -0.1227 , -0.0879 , -7.9960 , 2.0299
-0.01429 , -0.015905 , -0.003716 , -0.1336 , -0.2332 , -8.7344 , 2.1495
-0.01334 , -0.016341 , -0.008168 , -0.1522 , -0.3776 , -9.4684 , 2.2848
-0.01104 , -0.017332 , -0.007799 , -0.1084 , -0.2804 , -10.1796 , 2.4453
-0.00824 , -0.016086 , -0.003933 , -0.0579 , -0.1688 , -10.8391 , 2.6124
-0.00622 , -0.01499 , -0.000252 , -0.0011 , -0.0541 , -11.4513 , 2.7963
-0.00563 , -0.013318 , 0.004297 , 0.0479 , 0.1064 , -11.4561 , 3.5890
-0.00415 , -0.011728 , 0.009652 , 0.1051 , 0.2460 , -11.4463 , 4.3435
-0.00492 , -0.009864 , 0.015406 , 0.1521 , 0.3995 , -11.4365 , 5.0640
-0.00575 , -0.010599 , 0.016703 , 0.0763 , 0.3362 , -10.6174 , 5.2659
-0.0074 , -0.012943 , 0.01481 , -0.0014 , 0.2688 , -9.8212 , 5.4892
-0.00959 , -0.015349 , 0.012965 , -0.0947 , 0.2047 , -9.0397 , 5.7402
-0.01255 , -0.017857 , 0.009831 , -0.1517 , 0.0674 , -8.4239 , 5.9654
-0.01624 , -0.018896 , 0.005917 , -0.2138 , -0.0626 , -7.8665 , 6.2119
-0.01836 , -0.020349 , 0.002198 , -0.2661 , -0.1864 , -7.3493 , 6.4990
-0.01881 , -0.017173 , 0.001398 , -0.1486 , -0.1290 , -7.0665 , 5.8466
-0.0139 , -0.011708 , 0.00224 , -0.0209 , -0.0813 , -6.7716 , 5.1859
