@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.00788 , -0.0819 , 0.0211 , -3.7200 , 1.4348
0.0051 , -0.1275 , -0.0606 , -3.5376 , 1.6167
0.00231 , -0.0938 , -0.0996 , -3.5704 , 0.7039
0.00013 , -0.0664 , -0.1388 , -3.6230 , -0.2593
0.00128 , -0.0383 , -0.1760 , -3.6861 , -1.1852
0.00378 , 0.0342 , -0.0855 , -4.2647 , -0.8417
0.00918 , 0.1131 , 0.0045 , -4.7162 , -0.5100
0.01293 , 0.1946 , 0.0985 , -5.1985 , -0.1562
0.01645 , 0.1545 , 0.1440 , -5.6578 , 0.1613
0.0182 , 0.1140 , 0.1914 , -6.1076 , 0.4874
0.01914 , 0.0760 , 0.2389 , -6.6017 , 0.8256
0.0162 , -0.0186 , 0.1452 , -7.0592 , 1.1491
0.01548 , -0.1104 , 0.0498 , -7.5502 , 1.5129
0.01205 , -0.2061 , -0.0463 , -8.0294 , 1.8743
0.00706 , -0.2020 , -0.1202 , -8.4722 , 2.2697
0.00115 , -0.2010 , -0.1906 , -8.8794 , 2.6710
-0.00195 , -0.2020 , -0.2599 , -9.2448 , 3.1026
-0.00301 , -0.1015 , -0.1691 , -9.5518 , 3.5306
-0.00121 , 0.0002 , -0.0758 , -9.8190 , 3.9683
0.00475 , 0.1032 , 0.0176 , -10.0629 , 4.3759
0.00977 , 0.1232 , 0.1196 , -10.0625 , 4.9196
0.0133 , 0.1417 , 0.2216 , -10.0991 , 5.4483
0.0209 , 0.1596 , 0.3229 , -10.1411 , 6.0002
0.02171 , 0.0692 , 0.2568 , -9.1060 , 6.4504
0.01855 , -0.0193 , 0.1944 , -8.0137 , 6.8932
0.01601 , -0.1096 , 0.1351 , -6.9108 , 7.2662
0.0125 , -0.1302 , 0.0391 , -6.7279 , 7.4741
0.0075 , -0.1515 , -0.0581 , -6.5648 , 7.7368
0.00523 , -0.1739 , -0.1545 , -6.4310 , 8.0135
0.00211 , -0.0777 , -0.1009 , -5.5892 , 7.5146
0.00214 , 0.0213 , -0.0489 , -4.7405 , 6.9919
0.00472 , 0.1185 , 0.0011 , -3.8908 , 6.4247
0.00687 , 0.1617 , 0.0916 , -3.0402 , 5.7931
0.00965 , 0.2053 , 0.1824 , -2.1961 , 5.1348
0.01233 , 0.2511 , 0.2749 , -1.3559 , 4.4785
0.01449 , 0.1370 , 0.2050 , -0.5212 , 3.8105
0.01318 , 0.0224 , 0.1367 , 0.3092 , 3.1526
0.0095 , -0.0919 , 0.0691 , 1.0986 , 2.5223
0.00462 , -0.1263 , -0.0662 , 1.8779 , 1.8890
-0.00196 , -0.1616 , -0.2016 , 2.6478 , 1.2490
-0.00543 , -0.1949 , -0.3373 , 3.5485 , 0.6950
-0.00677 , -0.0932 , -0.2939 , 4.4630 , 0.1324
-0.00669 , 0.0096 , -0.2511 , 5.3993 , -0.3962
-0.00512 , 0.1132 , -0.2077 , 6.2674 , -0.9305
