@relation whatever

@attribute obs_lat numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.00489 , -0.001407 , -0.000165 , 0.1245 , 0.0218 , -5.5588 , -0.0387
0.0071 , -0.00355 , 0.002321 , 0.0822 , 0.0866 , -5.2167 , 0.6327
0.00968 , -0.004812 , 0.005069 , 0.0408 , 0.1526 , -4.8770 , 1.2764
0.01203 , -0.007142 , 0.00587 , -0.0134 , 0.1122 , -5.6687 , 1.9842
0.01229 , -0.010289 , 0.005323 , -0.0677 , 0.0728 , -6.4655 , 2.7242
0.01024 , -0.013449 , 0.004866 , -0.1215 , 0.0354 , -7.2983 , 3.5025
0.00934 , -0.013777 , 0.004255 , -0.1041 , 0.0040 , -7.4722 , 3.7068
0.00841 , -0.013984 , 0.003495 , -0.0865 , -0.0274 , -7.6472 , 3.9546
0.00745 , -0.013462 , 0.002764 , -0.0700 , -0.0584 , -7.7687 , 4.2361
0.00778 , -0.01093 , 0.0038 , 0.0018 , 0.0020 , -7.8660 , 4.5704
0.01051 , -0.008881 , 0.005924 , 0.0730 , 0.0596 , -7.9502 , 4.8593
0.01248 , -0.006825 , 0.007904 , 0.1444 , 0.1140 , -8.0318 , 5.1151
0.01523 , -0.005563 , 0.009896 , 0.1223 , 0.1673 , -8.1233 , 5.3994
0.01953 , -0.007996 , 0.011945 , 0.0996 , 0.2223 , -8.2061 , 5.6435
0.02166 , -0.0083 , 0.013943 , 0.0784 , 0.2792 , -8.3039 , 5.8712
0.02066 , -0.011284 , 0.014037 , 0.0019 , 0.2308 , -8.3969 , 6.1246
0.01887 , -0.013718 , 0.012884 , -0.0741 , 0.1880 , -8.4980 , 6.3494
0.01488 , -0.016805 , 0.011899 , -0.1492 , 0.1483 , -8.5895 , 6.5750
0.01065 , -0.01786 , 0.010324 , -0.1409 , 0.0759 , -8.6752 , 6.8245
0.00675 , -0.016699 , 0.008173 , -0.1298 , 0.0031 , -8.7525 , 7.0702
0.00364 , -0.016925 , 0.005941 , -0.1151 , -0.0715 , -8.8153 , 7.3362
0.00312 , -0.013419 , 0.005308 , -0.0317 , -0.0572 , -8.8824 , 7.5747
0.0017 , -0.011807 , 0.005821 , 0.0495 , -0.0491 , -8.9241 , 7.8685
0.00228 , -0.008157 , 0.00631 , 0.1230 , -0.0410 , -8.9892 , 8.0637
0.05995 , -0.025537 , 0.046732 , 0.1384 , 0.0425 , -8.9369 , 7.9523
0.00704 , -0.013391 , 0.001665 , -0.1326 , -0.0453 , -5.7324 , 2.2559
0.0056 , -0.012578 , 0.000174 , -0.1118 , -0.0808 , -6.3361 , 1.9806
0.00512 , -0.012454 , -0.001259 , -0.0915 , -0.1185 , -6.9122 , 1.6972
0.0054 , -0.01061 , -0.000142 , -0.0088 , -0.0393 , -7.1070 , 2.0203
0.00868 , -0.007623 , 0.002683 , 0.0722 , 0.0405 , -7.2903 , 2.3412
0.01388 , -0.005312 , 0.005329 , 0.1488 , 0.1161 , -7.4622 , 2.6599
0.01749 , -0.004798 , 0.007628 , 0.1210 , 0.1737 , -7.6273 , 2.9439
0.01739 , -0.006752 , 0.00965 , 0.0933 , 0.2310 , -7.7877 , 3.1873
0.01664 , -0.008061 , 0.011585 , 0.0679 , 0.2810 , -7.9703 , 3.4938
