@relation whatever

@attribute obs_lat numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00111 , -9.8E-05 , -0.004476 , 0.0526 , -0.1206 , -1.6226 , 0.8226
0.0029 , 0.000357 , -0.001117 , 0.1013 , -0.0202 , -2.3704 , 0.9125
0.00753 , 0.001479 , 0.00226 , 0.1509 , 0.0805 , -3.0649 , 1.0405
0.01311 , -1.6E-05 , 0.00574 , 0.1166 , 0.1873 , -3.7593 , 1.1685
0.01764 , -0.00291 , 0.00932 , 0.0805 , 0.2938 , -4.4147 , 1.3191
0.01564 , -0.005179 , 0.012955 , 0.0435 , 0.4016 , -5.0549 , 1.4764
0.01547 , -0.008326 , 0.0126 , -0.0106 , 0.2946 , -5.7607 , 1.6260
0.01261 , -0.009957 , 0.009148 , -0.0606 , 0.1846 , -6.4902 , 1.7816
0.0069 , -0.013079 , 0.005347 , -0.1189 , 0.0672 , -7.2132 , 1.8980
-0.00086 , -0.014492 , 0.000946 , -0.1227 , -0.0879 , -7.9960 , 2.0299
-0.00451 , -0.015905 , -0.003716 , -0.1336 , -0.2332 , -8.7344 , 2.1495
-0.00805 , -0.016341 , -0.008168 , -0.1522 , -0.3776 , -9.4684 , 2.2848
-0.00795 , -0.017332 , -0.007799 , -0.1084 , -0.2804 , -10.1796 , 2.4453
-0.00443 , -0.016086 , -0.003933 , -0.0579 , -0.1688 , -10.8391 , 2.6124
-0.0005 , -0.01499 , -0.000252 , -0.0011 , -0.0541 , -11.4513 , 2.7963
0.00529 , -0.013318 , 0.004297 , 0.0479 , 0.1064 , -11.4561 , 3.5890
0.00948 , -0.011728 , 0.009652 , 0.1051 , 0.2460 , -11.4463 , 4.3435
0.01549 , -0.009864 , 0.015406 , 0.1521 , 0.3995 , -11.4365 , 5.0640
0.01923 , -0.010599 , 0.016703 , 0.0763 , 0.3362 , -10.6174 , 5.2659
0.01828 , -0.012943 , 0.01481 , -0.0014 , 0.2688 , -9.8212 , 5.4892
0.01303 , -0.015349 , 0.012965 , -0.0947 , 0.2047 , -9.0397 , 5.7402
0.00651 , -0.017857 , 0.009831 , -0.1517 , 0.0674 , -8.4239 , 5.9654
-0.00086 , -0.018896 , 0.005917 , -0.2138 , -0.0626 , -7.8665 , 6.2119
-0.00612 , -0.020349 , 0.002198 , -0.2661 , -0.1864 , -7.3493 , 6.4990
-0.00926 , -0.017173 , 0.001398 , -0.1486 , -0.1290 , -7.0665 , 5.8466
-0.0093 , -0.011708 , 0.00224 , -0.0209 , -0.0813 , -6.7716 , 5.1859
-0.00422 , -0.007098 , 0.002875 , 0.1034 , -0.0407 , -6.4900 , 4.5058
0.00259 , -0.003251 , 0.004824 , 0.1685 , 0.0708 , -6.2776 , 3.7660
0.00802 , -0.000454 , 0.007825 , 0.2350 , 0.1849 , -6.0841 , 3.0093
0.01274 , 0.001587 , 0.010951 , 0.2972 , 0.3063 , -5.9221 , 2.2529
0.01541 , -0.000515 , 0.010983 , 0.1608 , 0.2548 , -5.8692 , 1.4622
0.01459 , -0.006028 , 0.00869 , 0.0197 , 0.2094 , -5.8710 , 0.6687
0.00611 , -0.010266 , 0.006309 , -0.1124 , 0.1665 , -5.8698 , -0.1063
-9E-05 , -0.012926 , 0.001496 , -0.1755 , 0.0076 , -5.7739 , -0.8647
-0.0048 , -0.015422 , -0.004178 , -0.2427 , -0.1590 , -5.6211 , -1.6459
-0.00757 , -0.019112 , -0.009094 , -0.3361 , -0.2859 , -5.3762 , -2.4210
-0.01044 , -0.0152 , -0.010996 , -0.1780 , -0.2251 , -5.1465 , -3.2199
-0.0129 , -0.007963 , -0.011091 , -0.0005 , -0.2188 , -4.6824 , -3.9607
