@relation whatever

@attribute obs_lon numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00102 , -0.002756 , -0.003247 , 0.0978 , -0.1423 , -4.5361 , 1.2335
0.00254 , -0.000137 , -0.000952 , 0.1327 , -0.0418 , -4.9265 , 1.3780
0.00264 , -0.000653 , 0.00242 , 0.1675 , 0.0598 , -5.3314 , 1.4928
0.00048 , 0.00032 , 0.005786 , 0.2035 , 0.1587 , -5.7125 , 1.6609
-0.00513 , -0.001954 , 0.006556 , 0.0998 , 0.1205 , -6.0960 , 1.8151
-0.01104 , -0.006572 , 0.005525 , -0.0043 , 0.0842 , -6.4819 , 1.9663
-0.01608 , -0.011154 , 0.004558 , -0.1081 , 0.0500 , -6.8566 , 2.1105
-0.01943 , -0.012936 , 0.002117 , -0.1243 , -0.0625 , -7.2140 , 2.2431
-0.02045 , -0.014003 , -0.001393 , -0.1400 , -0.1746 , -7.5541 , 2.3563
-0.02043 , -0.01426 , -0.004989 , -0.1565 , -0.2856 , -7.9027 , 2.4711
-0.0177 , -0.012793 , -0.006741 , -0.0668 , -0.2355 , -8.4684 , 1.2834
-0.01356 , -0.010057 , -0.006287 , 0.0202 , -0.1855 , -9.0877 , 0.0900
-0.00764 , -0.007455 , -0.00581 , 0.1052 , -0.1345 , -9.7428 , -1.1175
-0.00188 , -0.005911 , -0.002818 , 0.1413 , 0.0063 , -10.2766 , -0.8672
0.00071 , -0.00655 , 0.001905 , 0.1773 , 0.1463 , -10.7929 , -0.6162
0.00055 , -0.00564 , 0.006582 , 0.2135 , 0.2819 , -11.2464 , -0.3544
-0.00406 , -0.007567 , 0.00829 , 0.1088 , 0.2731 , -11.0237 , -0.4813
-0.00859 , -0.012249 , 0.007958 , 0.0044 , 0.2667 , -10.8021 , -0.6151
-0.01164 , -0.015792 , 0.00794 , -0.1009 , 0.2649 , -10.5653 , -0.7630
-0.01581 , -0.018088 , 0.005567 , -0.1532 , 0.1428 , -9.7895 , -1.2082
-0.01808 , -0.01758 , 0.000864 , -0.1915 , 0.0187 , -9.0235 , -1.6558
-0.02012 , -0.017741 , -0.003874 , -0.2184 , -0.1119 , -8.2714 , -2.1029
-0.01881 , -0.013978 , -0.006791 , -0.1345 , -0.1456 , -7.5228 , -2.5532
-0.01357 , -0.010883 , -0.008373 , -0.0604 , -0.1820 , -6.8015 , -2.9829
-0.00731 , -0.006421 , -0.009891 , 0.0114 , -0.2163 , -6.0803 , -3.4072
-3E-05 , -0.002941 , -0.009171 , 0.0746 , -0.1339 , -5.3685 , -3.8216
0.00492 , -0.000331 , -0.006875 , 0.1371 , -0.0504 , -4.6528 , -4.2281
0.00566 , 0.003056 , -0.004565 , 0.2000 , 0.0329 , -3.9320 , -4.6270
0.00426 , 0.002456 , -0.003819 , 0.1240 , 0.0342 , -3.2058 , -5.0224
0.00019 , 0.001042 , -0.004225 , 0.0481 , 0.0330 , -2.4842 , -5.4261
-0.00277 , -0.001114 , -0.0047 , -0.0276 , 0.0303 , -1.7557 , -5.8231
-0.00521 , -0.002293 , -0.007308 , -0.0621 , -0.0850 , -1.0246 , -6.2188
-0.00717 , -0.001998 , -0.011452 , -0.0964 , -0.2008 , -0.2910 , -6.6133
-0.00624 , -0.001665 , -0.015658 , -0.1287 , -0.3183 , 0.4479 , -6.9936
-0.00435 , -0.000106 , -0.016451 , -0.0695 , -0.2999 , 0.9661 , -6.0133
-0.00178 , 0.00285 , -0.014496 , -0.0101 , -0.2706 , 1.4642 , -5.0569
0.00229 , 0.005154 , -0.012276 , 0.0527 , -0.2246 , 1.9490 , -4.1331
0.00755 , 0.007745 , -0.008928 , 0.1169 , -0.0816 , 2.7451 , -4.5855
0.0101 , 0.011228 , -0.004802 , 0.1803 , 0.0593 , 3.5529 , -5.0192
0.01074 , 0.013998 , -0.000609 , 0.2435 , 0.2023 , 4.3656 , -5.4411
0.00749 , 0.013478 , 0.001328 , 0.1641 , 0.2185 , 4.1341 , -5.6706
0.00413 , 0.009958 , 0.001585 , 0.0831 , 0.2348 , 3.9117 , -5.9041
0.00159 , 0.006377 , 0.001807 , 0.0004 , 0.2490 , 3.6803 , -6.1429
-0.00092 , 0.003422 , -0.000423 , -0.0561 , 0.1150 , 3.4827 , -5.7840
-0.00314 , 0.000923 , -0.004443 , -0.1122 , -0.0199 , 3.2759 , -5.4241
-0.00459 , -8.9E-05 , -0.008531 , -0.1690 , -0.1551 , 3.0756 , -5.0684
-0.00376 , -0.000146 , -0.01065 , -0.1196 , -0.1877 , 2.8465 , -4.7183
-0.00376 , 0.001502 , -0.011262 , -0.0712 , -0.2170 , 2.6147 , -4.3727
0.00067 , 0.003113 , -0.011778 , -0.0235 , -0.2429 , 2.3804 , -4.0317
0.0045 , 0.005408 , -0.009858 , 0.0537 , -0.1418 , 2.1435 , -3.6952
0.00972 , 0.007467 , -0.006207 , 0.1303 , -0.0379 , 1.9069 , -3.3708
0.013 , 0.009601 , -0.002525 , 0.2084 , 0.0670 , 1.6882 , -3.0567
0.01337 , 0.009948 , -0.000686 , 0.1466 , 0.0735 , 1.4763 , -2.7255
0.0084 , 0.006424 , -0.000167 , 0.0830 , 0.0805 , 1.2543 , -2.4208
0.00538 , 0.003631 , 0.000345 , 0.0195 , 0.0861 , 1.0403 , -2.0951
0.00121 , 0.001009 , -0.001497 , -0.0367 , -0.0325 , 0.8255 , -1.7712
-0.00254 , -0.000749 , -0.005049 , -0.0925 , -0.1518 , 0.6072 , -1.4331
-0.00438 , -0.003343 , -0.008598 , -0.1485 , -0.2730 , 0.3745 , -1.1102
-0.00441 , -0.003037 , -0.009169 , -0.1031 , -0.2615 , 0.2814 , -0.2230
-0.00162 , -0.002106 , -0.007883 , -0.0591 , -0.2488 , 0.1874 , 0.6437
0.00311 , -0.000455 , -0.006522 , -0.0152 , -0.2334 , 0.1109 , 1.5287
0.00791 , 0.001625 , -0.002775 , 0.0620 , -0.0777 , -0.4551 , 1.9421
0.01249 , 0.003307 , 0.002632 , 0.1393 , 0.0795 , -1.0446 , 2.3103
0.01599 , 0.004322 , 0.008001 , 0.2173 , 0.2352 , -1.6159 , 2.7077
0.01522 , 0.004347 , 0.010907 , 0.1598 , 0.2653 , -1.1639 , 2.8787
0.01094 , 0.002557 , 0.012131 , 0.1006 , 0.2987 , -0.6871 , 3.0361
0.00398 , 0.00077 , 0.013447 , 0.0405 , 0.3347 , -0.1898 , 3.1872
-0.003 , -0.002563 , 0.011653 , -0.0320 , 0.2076 , -0.4304 , 3.1970
-0.00691 , -0.004311 , 0.00763 , -0.1049 , 0.0841 , -0.6601 , 3.2160
-0.00927 , -0.007599 , 0.003649 , -0.1786 , -0.0400 , -0.9418 , 3.2439
-0.01014 , -0.007665 , 0.000871 , -0.1457 , -0.0996 , -1.2291 , 3.2749
-0.0095 , -0.006738 , -0.001088 , -0.1130 , -0.1610 , -1.5413 , 3.3085
-0.00558 , -0.005117 , -0.00306 , -0.0813 , -0.2226 , -1.8455 , 3.3356
0.00106 , -0.003719 , -0.002295 , 0.0037 , -0.1395 , -2.1563 , 3.3529
0.00707 , -0.000669 , 0.000421 , 0.0890 , -0.0564 , -2.4501 , 3.3720
0.00819 , 0.002387 , 0.003113 , 0.1744 , 0.0268 , -2.7439 , 3.3910
0.00564 , 0.001988 , 0.004913 , 0.1416 , 0.0627 , -3.0377 , 3.4101
0.00423 , 0.000348 , 0.006107 , 0.1095 , 0.0985 , -3.3338 , 3.4454
-0.00165 , -0.002045 , 0.007351 , 0.0772 , 0.1356 , -3.6341 , 3.4838
