@relation whatever

@attribute obs_lat numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.01112 , -0.001001 , -0.013522 , -0.1981 , -0.1387 , 4.5280 , -10.3251
-0.01512 , 0.000287 , -0.015354 , -0.1449 , -0.2022 , 4.4063 , -10.0985
-0.01707 , 0.003045 , -0.017165 , -0.0910 , -0.2626 , 4.2782 , -9.8923
-0.01752 , 0.006577 , -0.016019 , 0.0317 , -0.1692 , 4.1425 , -9.6783
-0.01413 , 0.011137 , -0.012763 , 0.1502 , -0.0736 , 4.0029 , -9.4780
-0.00977 , 0.014205 , -0.009363 , 0.2668 , 0.0279 , 3.8513 , -9.2744
-0.00446 , 0.014432 , -0.006584 , 0.2011 , 0.0922 , 3.7038 , -9.0909
0.00081 , 0.011602 , -0.004415 , 0.1354 , 0.1545 , 3.5539 , -8.9060
0.00335 , 0.008742 , -0.002285 , 0.0684 , 0.2155 , 3.4022 , -8.7226
0.00246 , 0.004257 , -0.003507 , -0.0373 , 0.0991 , 3.2489 , -8.5429
-0.00055 , 0.001257 , -0.007146 , -0.1431 , -0.0183 , 3.1042 , -8.3686
-0.00619 , -0.003107 , -0.010843 , -0.2466 , -0.1384 , 2.9377 , -8.1936
-0.01172 , -0.003883 , -0.013409 , -0.1984 , -0.1977 , 2.7681 , -8.0251
-0.01639 , -0.001435 , -0.015116 , -0.1495 , -0.2545 , 2.5968 , -7.8702
-0.01865 , 0.000324 , -0.016773 , -0.1000 , -0.3111 , 2.4077 , -7.7186
-0.01716 , 0.003565 , -0.014687 , 0.0308 , -0.1755 , 2.6246 , -7.3463
-0.0133 , 0.009029 , -0.00988 , 0.1600 , -0.0389 , 2.8702 , -6.9478
-0.00741 , 0.013849 , -0.005009 , 0.2889 , 0.1001 , 3.1331 , -6.5354
-0.00204 , 0.014105 , -0.001304 , 0.2315 , 0.1884 , 3.1036 , -6.4901
0.00422 , 0.011642 , 0.001533 , 0.1707 , 0.2750 , 3.0686 , -6.4497
0.0066 , 0.008384 , 0.00438 , 0.1080 , 0.3615 , 3.0319 , -6.3989
0.00612 , 0.004767 , 0.003133 , -0.0153 , 0.2409 , 2.5413 , -6.6874
0.00294 , -0.000775 , -0.00108 , -0.1392 , 0.1192 , 2.0448 , -6.9942
-0.00272 , -0.005583 , -0.005337 , -0.2625 , -0.0018 , 1.5464 , -7.3211
-0.00855 , -0.007091 , -0.008808 , -0.2242 , -0.0956 , 1.3538 , -7.1537
-0.01204 , -0.005101 , -0.011647 , -0.1856 , -0.1870 , 1.1603 , -7.0027
-0.01543 , -0.003123 , -0.014394 , -0.1484 , -0.2776 , 0.9766 , -6.8280
-0.01574 , -0.000252 , -0.013372 , -0.0132 , -0.1708 , 0.8050 , -6.6336
-0.01279 , 0.004879 , -0.009657 , 0.1209 , -0.0618 , 0.6248 , -6.4363
-0.00865 , 0.00929 , -0.00586 , 0.2544 , 0.0504 , 0.4337 , -6.2298
-0.00211 , 0.010378 , -0.002697 , 0.2139 , 0.1276 , 0.2427 , -6.0248
0.00275 , 0.007865 , -5.5E-05 , 0.1743 , 0.2037 , 0.0603 , -5.8170
0.00564 , 0.005451 , 0.002812 , 0.1353 , 0.2784 , -0.1231 , -5.6132
0.00584 , 0.002253 , 0.001766 , 0.0053 , 0.1527 , -0.3177 , -5.4149
0.00339 , -0.003226 , -0.002115 , -0.1257 , 0.0265 , -0.5128 , -5.2274
-0.00099 , -0.007969 , -0.006009 , -0.2564 , -0.0983 , -0.7160 , -5.0404
-0.00775 , -0.008878 , -0.009083 , -0.2244 , -0.1824 , -0.9126 , -4.8551
